INFO:root:So should this
WARNING:root:And this, too
WARNING:root:Starting heatstop
04/24/20:15:22:18,406 root INFO Starting heatstop
04/24/20:15:22:40,4 root INFO Starting heatstop
04/28/20:10:26:24,253 root INFO Starting heatstop
04/28/20:10:26:30,230 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:26:36,989 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:26:43,810 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:26:50,587 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:26:57,403 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:27:04,188 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:27:10,999 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:27:17,779 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:27:24,603 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:27:31,376 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:27:38,198 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:27:44,985 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:27:51,804 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:27:58,872 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:28:05,477 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:28:12,256 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:28:19,56 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:28:25,951 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:28:32,731 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:28:40,410 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:28:48,173 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:28:54,969 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:29:01,770 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:29:08,567 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:29:15,369 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:29:23,59 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:29:29,847 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:29:36,743 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:29:43,524 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:29:50,338 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:29:57,121 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:30:03,940 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:30:10,721 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:30:17,543 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:30:24,318 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:30:31,145 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:30:37,917 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:30:44,740 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:30:51,514 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:30:58,329 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:31:05,126 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:31:11,930 root WARNING Water temp = 75.88f TOO HOT
04/28/20:10:31:18,713 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:31:25,528 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:31:32,308 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:31:39,128 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:31:45,909 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:31:52,725 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:31:59,508 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:32:06,324 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:32:13,105 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:32:19,919 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:32:26,709 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:32:33,520 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:32:40,304 root WARNING Water temp = 75.76f TOO HOT
04/28/20:10:32:47,124 root WARNING Water temp = 75.76f TOO HOT
